OutputPropertiesFactory.java:286, OutputPropertiesFactory.java:289
OutputPropertiesFactory.java:301, OutputPropertiesFactory.java:289
OutputPropertiesFactory.java:289, OutputPropertiesFactory.java:289
XMLStringFactoryImpl.java:34, XMLStringFactoryImpl.java:45
DTMManager.java:56, DTMManager.java:137
ObjectFactory.java:77, ObjectFactory.java:299
IntVector.java:70, XPathContext.java:350
IntVector.java:70, XPathContext.java:352
XPathContext.java:350, IntStack.java:86
StackGuard.java:46, StackGuard.java:46
ToStream.java:97, ToStream.java:97
ToStream.java:171, ToStream.java:171
CharInfo.java:565, CharInfo.java:491
ToHTMLStream.java:2097, ToHTMLStream.java:2347
CharInfo.java:613, CharInfo.java:541
CharInfo.java:759, CharInfo.java:790
CharInfo.java:318, CharInfo.java:553
SAX2DTM.java:123, DTMTreeWalker.java:196
SAX2DTM.java:137, SAX2DTM.java:194
DTMStringPool.java:61, DTMStringPool.java:61
DTMStringPool.java:61, DTMStringPool.java:89
SAX2DTM.java:137, SAX2DTM.java:287
SAX2DTM.java:137, SAX2DTM.java:288
SAX2DTM.java:137, SAX2DTM.java:289
SAX2DTM.java:137, SAX2DTM.java:290
DTMStringPool.java:61, DTMStringPool.java:113
DTMStringPool.java:61, DTMStringPool.java:130
DTMTreeWalker.java:196, SAX2DTM.java:1677
SAX2DTM.java:137, SAX2DTM.java:894
XUnresolvedVariable.java:83, SuballocatedIntVector.java:151
SAX2DTM.java:287, SAX2DTM.java:1729
SAX2DTM.java:894, SAX2DTM.java:1729
SAX2DTM.java:1729, SAX2DTM.java:894
SAX2DTM.java:287, SAX2DTM.java:1373
Lexer.java:114, NodeSequence.java:66
NodeSequence.java:66, Lexer.java:416
ToStream.java:1525, SuballocatedIntVector.java:151
ToStream.java:1525, SuballocatedIntVector.java:390
ToStream.java:1525, SuballocatedIntVector.java:174
ToStream.java:1525, NodeSequence.java:137
ToStream.java:1525, SerializerBase.java:1658
SuballocatedIntVector.java:151, ObjectVector.java:316
ObjectVector.java:316, SuballocatedIntVector.java:407
ToStream.java:1525, XNumber.java:49
