JavaParserTokenManager.java:1830, JavaParserTokenManager.java:1981
JavaParserTokenManager.java:1791, JavaParserTokenManager.java:1901
JavaParserTokenManager.java:1823, JavaParserTokenManager.java:2011
JavaParserTokenManager.java:1823, JavaParserTokenManager.java:1986
JavaParserTokenManager.java:1836, JavaParserTokenManager.java:1992
JavaParserTokenManager.java:1823, JavaParserTokenManager.java:2006
JavaParserTokenManager.java:1603, JavaParserTokenManager.java:2130
Benchmark.java:241, Benchmark.java:241
Benchmark.java:242, Benchmark.java:242
XPathReaderFactory.java:137, XPathReaderFactory.java:137
XPathReaderFactory.java:144, XPathReaderFactory.java:144
ClassWriter.java:0, ClassReader.java:0
JavaParserTokenManager.java:1603, JavaParserTokenManager.java:2118
Report.java:123, Report.java:173
ASTAnnotation.java:14, ASTAnnotation.java:36
RuleViolation.java:73, RuleViolation.java:179
