OutputPropertiesFactory.java:286, OutputPropertiesFactory.java:289
OutputPropertiesFactory.java:301, OutputPropertiesFactory.java:289
OutputPropertiesFactory.java:289, OutputPropertiesFactory.java:289
XMLStringFactoryImpl.java:34, XMLStringFactoryImpl.java:45
DTMManager.java:56, DTMManager.java:137
ObjectFactory.java:77, ObjectFactory.java:299
ObjectFactory.java:70, ObjectFactory.java:342
IntVector.java:70, XPathContext.java:350
IntVector.java:70, XPathContext.java:352
XPathContext.java:350, IntStack.java:86
StackGuard.java:46, StackGuard.java:46
ToStream.java:97, ToStream.java:97
ToStream.java:171, ToStream.java:171
CharInfo.java:565, CharInfo.java:491
ToHTMLStream.java:2097, ToHTMLStream.java:2347
CharInfo.java:613, CharInfo.java:541
CharInfo.java:177, CharInfo.java:551
CharInfo.java:759, CharInfo.java:790
CharInfo.java:318, CharInfo.java:553
SAX2DTM.java:123, DTMTreeWalker.java:196
SAX2DTM.java:137, SAX2DTM.java:194
DTMStringPool.java:61, DTMStringPool.java:61
DTMStringPool.java:61, DTMStringPool.java:89
SAX2DTM.java:137, SAX2DTM.java:287
SAX2DTM.java:137, SAX2DTM.java:288
SAX2DTM.java:137, SAX2DTM.java:289
SAX2DTM.java:137, SAX2DTM.java:290
DTMStringPool.java:61, DTMStringPool.java:113
DTMStringPool.java:61, DTMStringPool.java:130
DTMTreeWalker.java:196, SAX2DTM.java:1677
SAX2DTM.java:137, SAX2DTM.java:894
XUnresolvedVariable.java:83, SuballocatedIntVector.java:151
XPathContext.java:350, IntStack.java:123
StackGuard.java:46, StackGuard.java:64
XPathContext.java:350, IntStack.java:159
ToHTMLStream.java:2129, ToHTMLStream.java:2332
ToHTMLStream.java:2141, ToHTMLStream.java:2337
ElemDesc.java:127, ElemDesc.java:146
ElemDesc.java:160, ElemDesc.java:175
StringToIntTable.java:123, StringToIntTable.java:159
StringToIntTable.java:66, StringToIntTable.java:161
StringToIntTable.java:120, StringToIntTable.java:161
ToHTMLStream.java:2129, ToHTMLStream.java:2305
ToHTMLStream.java:2141, ToHTMLStream.java:2307
StringToIntTable.java:67, StringToIntTable.java:162
StringToIntTable.java:121, StringToIntTable.java:162
LocPathIterator.java:688, LocPathIterator.java:360
LocPathIterator.java:682, LocPathIterator.java:363
LocPathIterator.java:684, LocPathIterator.java:364
LocPathIterator.java:689, LocPathIterator.java:366
LocPathIterator.java:370, LocPathIterator.java:369
LocPathIterator.java:687, LocPathIterator.java:372
LocPathIterator.java:373, LocPathIterator.java:373
WalkingIterator.java:171, LocPathIterator.java:373
LocPathIterator.java:686, LocPathIterator.java:374
LocPathIterator.java:685, LocPathIterator.java:375
LocPathIterator.java:378, LocPathIterator.java:378
WalkingIterator.java:193, LocPathIterator.java:378
PredicatedNodeTest.java:519, AxesWalker.java:58
LocPathIterator.java:682, LocPathIterator.java:836
AxesWalker.java:180, AxesWalker.java:220
AxesWalker.java:180, AxesWalker.java:221
AxesWalker.java:181, AxesWalker.java:221
AxesWalker.java:182, AxesWalker.java:222
AxesWalker.java:223, AxesWalker.java:223
ReverseAxesWalker.java:76, AxesWalker.java:223
AxesWalker.java:183, AxesWalker.java:224
AxesWalker.java:179, AxesWalker.java:225
ReverseAxesWalker.java:65, ReverseAxesWalker.java:54
ReverseAxesWalker.java:65, ReverseAxesWalker.java:55
WalkingIterator.java:269, WalkingIterator.java:158
LocPathIterator.java:373, WalkingIterator.java:171
LocPathIterator.java:378, WalkingIterator.java:182
LocPathIterator.java:682, WalkingIterator.java:188
LocPathIterator.java:378, WalkingIterator.java:193
